agent_id,x,y,coverage_pheromone,size
pipuck15,-4.11719,0.398438,0.82625,0.265625
pipuck15,-4.11719,0.664062,0.825625,0.265625
pipuck15,-4.11719,0.929688,0.823125,0.265625
pipuck15,-4.11719,1.19531,0.82,0.265625
pipuck15,-4.11719,1.46094,0.813125,0.265625
pipuck15,-4.11719,1.72656,0.810625,0.265625
pipuck15,-4.11719,1.99219,0.80125,0.265625
pipuck15,-4.11719,2.25781,0.798125,0.265625
pipuck15,-4.11719,2.52344,0.793125,0.265625
pipuck15,-4.11719,2.78906,0.786875,0.265625
pipuck15,-4.11719,3.05469,0.78375,0.265625
pipuck15,-4.11719,3.32031,0.7775,0.265625
pipuck15,-4.11719,3.58594,0.774375,0.265625
pipuck15,-4.11719,3.85156,0.7675,0.265625
pipuck15,-4.11719,4.11719,0.76375,0.265625
pipuck15,-4.11719,4.38281,0.758125,0.265625
pipuck15,-4.11719,4.64844,0.75125,0.265625
pipuck15,-4.11719,4.91406,0.7475,0.265625
pipuck15,-4.11719,5.17969,0.746875,0.265625
pipuck15,-4.11719,5.44531,0.743125,0.265625
pipuck15,-4.11719,5.71094,0.7425,0.265625
pipuck15,-4.11719,5.97656,0.74125,0.265625
pipuck15,-4.11719,6.24219,0.740625,0.265625
pipuck15,-4.11719,6.50781,0.739375,0.265625
pipuck15,-4.11719,6.77344,0.71125,0.265625
pipuck15,-4.11719,7.03906,0.710625,0.265625
pipuck15,-4.11719,7.30469,0.71,0.265625
pipuck15,-4.11719,7.57031,0.705,0.265625
pipuck15,-4.11719,7.83594,0.66,0.265625
pipuck15,-4.11719,8.10156,0.659375,0.265625
pipuck15,-4.11719,8.36719,0.659375,0.265625
pipuck15,-3.85156,-7.03906,0.068125,0.265625
pipuck15,-3.85156,-6.77344,0.074375,0.265625
pipuck15,-3.85156,-6.50781,0.076875,0.265625
pipuck15,-3.85156,-6.24219,0.11125,0.265625
pipuck15,-3.85156,-5.97656,0.1125,0.265625
pipuck15,-3.85156,-5.71094,0.115625,0.265625
pipuck15,-3.85156,-5.44531,0.1275,0.265625
pipuck15,-3.85156,-5.17969,0.1325,0.265625
pipuck15,-3.85156,-4.91406,0.13625,0.265625
pipuck15,-3.85156,-4.64844,0.135625,0.265625
pipuck15,-3.85156,-4.38281,0.109375,0.265625
pipuck15,-3.85156,-4.11719,0.175,0.265625
pipuck15,-3.85156,-3.85156,0.18125,0.265625
pipuck15,-3.85156,-3.58594,0.18375,0.265625
pipuck15,-3.85156,-3.32031,0.18875,0.265625
pipuck15,-3.85156,-3.05469,0.22125,0.265625
pipuck15,-3.85156,-2.78906,0.225,0.265625
pipuck15,-3.85156,-2.52344,0.22875,0.265625
pipuck15,-3.85156,-2.25781,0.228125,0.265625
pipuck15,-3.85156,-1.99219,0.228125,0.265625
pipuck15,-3.85156,-1.72656,0.213125,0.265625
pipuck15,-3.85156,-1.46094,0.890625,0.265625
pipuck15,-3.85156,-1.19531,0.89125,0.265625
pipuck15,-3.85156,-0.929688,0.885,0.265625
pipuck15,-3.85156,-0.664062,0.88375,0.265625
pipuck15,-3.85156,-0.398438,0.881875,0.265625
pipuck15,-3.85156,-0.132812,0.88125,0.265625
pipuck15,-3.85156,0.132812,0.865,0.265625
pipuck15,-3.85156,0.398438,0.831875,0.265625
pipuck15,-3.85156,0.664062,0.828125,0.265625
pipuck15,-3.85156,0.929688,0.823125,0.265625
pipuck15,-3.85156,1.19531,0.82,0.265625
pipuck15,-3.85156,1.46094,0.819375,0.265625
pipuck15,-3.85156,1.72656,0.81125,0.265625
pipuck15,-3.85156,1.99219,0.80375,0.265625
pipuck15,-3.85156,2.25781,0.798125,0.265625
pipuck15,-3.85156,2.52344,0.795625,0.265625
pipuck15,-3.85156,2.78906,0.7875,0.265625
pipuck15,-3.85156,3.05469,0.78375,0.265625
pipuck15,-3.85156,3.32031,0.778125,0.265625
pipuck15,-3.85156,3.58594,0.774375,0.265625
pipuck15,-3.85156,3.85156,0.7675,0.265625
pipuck15,-3.85156,4.11719,0.76375,0.265625
pipuck15,-3.85156,4.38281,0.758125,0.265625
pipuck15,-3.85156,4.64844,0.75125,0.265625
pipuck15,-3.85156,4.91406,0.7475,0.265625
pipuck15,-3.85156,5.17969,0.746875,0.265625
pipuck15,-3.85156,5.44531,0.7425,0.265625
pipuck15,-3.85156,5.71094,0.74125,0.265625
pipuck15,-3.85156,5.97656,0.740625,0.265625
pipuck15,-3.85156,6.24219,0.753125,0.265625
pipuck15,-3.85156,6.50781,0.7425,0.265625
pipuck15,-3.85156,6.77344,0.71,0.265625
pipuck15,-3.85156,7.03906,0.72625,0.265625
pipuck15,-3.85156,7.30469,0.72625,0.265625
pipuck15,-3.85156,7.57031,0.709375,0.265625
pipuck15,-3.85156,7.83594,0.681875,0.265625
pipuck15,-3.85156,8.10156,0.67625,0.265625
pipuck15,-3.85156,8.36719,0.673125,0.265625
pipuck15,-3.85156,8.63281,0.658125,0.265625
pipuck15,-3.58594,-8.36719,0.01375,0.265625
pipuck15,-3.58594,-8.10156,0.02,0.265625
pipuck15,-3.58594,-7.57031,0.02375,0.265625
pipuck15,-3.58594,-7.30469,0.063125,0.265625
pipuck15,-3.58594,-7.03906,0.06875,0.265625
pipuck15,-3.58594,-6.77344,0.07125,0.265625
pipuck15,-3.58594,-6.50781,0.074375,0.265625
pipuck15,-3.58594,-6.24219,0.11125,0.265625
pipuck15,-3.58594,-5.97656,0.11125,0.265625
pipuck15,-3.58594,-5.71094,0.11125,0.265625
pipuck15,-3.58594,-5.44531,0.1125,0.265625
pipuck15,-3.58594,-5.17969,0.134375,0.265625
pipuck15,-3.58594,-4.91406,0.1375,0.265625
pipuck15,-3.58594,-4.64844,0.138125,0.265625
pipuck15,-3.58594,-4.38281,0.138125,0.265625
pipuck15,-3.58594,-4.11719,0.1725,0.265625
pipuck15,-3.58594,-3.85156,0.180625,0.265625
pipuck15,-3.58594,-3.58594,0.18125,0.265625
pipuck15,-3.58594,-3.32031,0.183125,0.265625
pipuck15,-3.58594,-3.05469,0.21625,0.265625
pipuck15,-3.58594,-2.78906,0.213125,0.265625
pipuck15,-3.58594,-2.52344,0.213125,0.265625
pipuck15,-3.58594,-2.25781,0.90375,0.265625
pipuck15,-3.58594,-1.99219,0.90125,0.265625
pipuck15,-3.58594,-1.72656,0.898125,0.265625
pipuck15,-3.58594,-1.46094,0.8975,0.265625
pipuck15,-3.58594,-1.19531,0.89125,0.265625
pipuck15,-3.58594,-0.929688,0.885,0.265625
pipuck15,-3.58594,-0.664062,0.88375,0.265625
pipuck15,-3.58594,-0.398438,0.881875,0.265625
pipuck15,-3.58594,-0.132812,0.88125,0.265625
pipuck15,-3.58594,0.132812,0.880625,0.265625
pipuck15,-3.58594,0.398438,0.864375,0.265625
pipuck15,-3.58594,0.664062,0.86375,0.265625
pipuck15,-3.58594,0.929688,0.82375,0.265625
pipuck15,-3.58594,1.19531,0.8225,0.265625
pipuck15,-3.58594,1.46094,0.819375,0.265625
pipuck15,-3.58594,1.72656,0.81125,0.265625
pipuck15,-3.58594,1.99219,0.805,0.265625
pipuck15,-3.58594,2.25781,0.799375,0.265625
pipuck15,-3.58594,2.52344,0.795625,0.265625
pipuck15,-3.58594,2.78906,0.7875,0.265625
pipuck15,-3.58594,3.05469,0.78375,0.265625
pipuck15,-3.58594,3.32031,0.78,0.265625
pipuck15,-3.58594,3.58594,0.775,0.265625
pipuck15,-3.58594,3.85156,0.768125,0.265625
pipuck15,-3.58594,4.11719,0.764375,0.265625
pipuck15,-3.58594,4.38281,0.79375,0.265625
pipuck15,-3.58594,4.64844,0.788125,0.265625
pipuck15,-3.58594,4.91406,0.788125,0.265625
pipuck15,-3.58594,5.17969,0.781875,0.265625
pipuck15,-3.58594,5.44531,0.7725,0.265625
pipuck15,-3.58594,5.71094,0.7725,0.265625
pipuck15,-3.58594,5.97656,0.766875,0.265625
pipuck15,-3.58594,6.24219,0.759375,0.265625
pipuck15,-3.58594,6.50781,0.7575,0.265625
pipuck15,-3.58594,6.77344,0.75125,0.265625
pipuck15,-3.58594,7.03906,0.73125,0.265625
pipuck15,-3.58594,7.30469,0.7275,0.265625
pipuck15,-3.58594,7.57031,0.719375,0.265625
pipuck15,-3.58594,7.83594,0.68125,0.265625
pipuck15,-3.58594,8.10156,0.679375,0.265625
pipuck15,-3.58594,8.36719,0.675,0.265625
pipuck15,-3.58594,8.63281,0.668125,0.265625
pipuck15,-3.32031,-9.96094,-1,0.265625
pipuck15,-3.32031,-7.57031,0.058125,0.265625
pipuck15,-3.32031,-7.30469,0.06125,0.265625
pipuck15,-3.32031,-7.03906,0.06625,0.265625
pipuck15,-3.32031,-6.77344,0.06875,0.265625
pipuck15,-3.32031,-6.50781,0.103125,0.265625
pipuck15,-3.32031,-6.24219,0.11,0.265625
pipuck15,-3.32031,-5.97656,0.110625,0.265625
pipuck15,-3.32031,-5.71094,0.110625,0.265625
pipuck15,-3.32031,-5.44531,0.110625,0.265625
pipuck15,-3.32031,-5.17969,0.134375,0.265625
pipuck15,-3.32031,-4.91406,0.144375,0.265625
pipuck15,-3.32031,-4.64844,0.14875,0.265625
pipuck15,-3.32031,-4.38281,0.160625,0.265625
pipuck15,-3.32031,-4.11719,0.166875,0.265625
pipuck15,-3.32031,-3.85156,0.1725,0.265625
pipuck15,-3.32031,-3.58594,0.175,0.265625
pipuck15,-3.32031,-3.32031,0.175625,0.265625
pipuck15,-3.32031,-3.05469,0.2125,0.265625
pipuck15,-3.32031,-2.78906,0.915625,0.265625
pipuck15,-3.32031,-2.52344,0.915,0.265625
pipuck15,-3.32031,-2.25781,0.911875,0.265625
pipuck15,-3.32031,-1.99219,0.90125,0.265625
pipuck15,-3.32031,-1.72656,0.898125,0.265625
pipuck15,-3.32031,-1.46094,0.8975,0.265625
pipuck15,-3.32031,-1.19531,0.89125,0.265625
pipuck15,-3.32031,-0.929688,0.888125,0.265625
pipuck15,-3.32031,-0.664062,0.88375,0.265625
pipuck15,-3.32031,-0.398438,0.881875,0.265625
pipuck15,-3.32031,-0.132812,0.88125,0.265625
